province,university,program,internationalTuition,domesticTuition,minimumAverage,length,language,toefl,rank,notes,longitude,latitude,link
Alberta,University of Calgary,Biological Sciences,611,538,mid 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Biomechanics,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Biomedical Sciences,611,538,mid 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Business Process Management,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Business Technology Management,611,538,low 80s ,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Canadian Studies,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,"Cellular, Molecular and Microbial Biology",611,538,low 90s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Chemical Engineering,611,538,mid 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Chemistry,611,538,mid 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Civil Engineering,611,538,mid 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Communication and Media Studies,611,538,low 70s ,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Community Rehabilitation and Disability Studies,611,538,mid 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Computer Science,611,538,mid 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Dance,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Development Studies,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Drama,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Earth Science,611,538,mid 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,East Asian Language Studies,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,East Asian Studies,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Ecology and Environmental Biology,611,538,low 90s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Economics,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Education (concurrent),611,538,mid 70s,5 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Electrical Engineering,611,538,mid 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Energy Engneering,611,538,Low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Energy Management,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,English,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Entrepreneurship and Innovation,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Environmental Design,611,538,mid 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Enviornmental Science,611,538,mid 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Excersise and Health physiology,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Film Studies,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Finance,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,French,611,538,low 70s,4 years,"English, French",550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,General Commerce,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,General Mathematics,611,538,mid 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Geography,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Geology,611,538,mid 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Geomatics Engineering,611,538,mid 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Geophysics,611,538,mid 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,German,611,538,low 70s,4 years,"English, German",550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Greek and Roman Studies,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Health and Society,611,538,mid 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,History,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,International Business,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,International Indigenous Studies,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,International Relations,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Italian Studies,611,538,low 70s,4 years,"English, Italian",550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Kinesiology,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Landscape Architecture,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Latin American Studies,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Law ,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Law and Society,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Leadership in Pedagogy and Coaching,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Linguistics,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Linguistics and Language,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Marketing,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Mechanical Engineering,611,538,mid 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Mind Sciences in Kinesiology,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Multidiscinplinary,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Music(Bachelor of Arts),611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Music(Bachelor of Music),611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Natural Sciences,611,538,mid 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Neuroscience(honours),611,538,low 90s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Nursing,611,538,mid 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Oil and Gas Engineering,611,538,mid 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Operations Management,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Organizational Behaviour and Human Resources,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Personal Financial Planning,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Petrolium Land Management,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Philosophy,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Physics,611,538,mid 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Planning,611,538,low 90s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Plant Biology,611,538,low 90s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Political Science,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Psycology,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Pure Mathematics,611,538,mid 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Real Estate,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Religious Studies,611,538,Low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Risk Management Studies,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Risk management Insurance and Finance,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Russian,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Social Work,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Sociology,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Software Engineering,611,538,mid 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Spanish,611,538,low 70s,4 years,"English, Spanish",550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Statistics,611,538,mid 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Supply Chain Management,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Tourism Management  ,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Tourism Management  and Marketing,611,538,low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Urban Studies,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Visual Studies,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Women's Studies,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Zoology,611,538,low 90s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,Athabasca University,Arts,45720,26680,70,3-4 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,Anthropology Concentration,45720,26680,70,3 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,Anthropology,45720,26680,70,4 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,Canadian Studies,45720,26680,70,4 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,English Concentration,45720,26680,70,3 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,English,45720,26680,70,4 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,French Concentration,45720,26680,70,3 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,French,45720,26680,70,4 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,Global Studies   ,45720,26680,70,3 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,History Concentration,45720,26680,70,3 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,History,45720,26680,70,4 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,Humanities concentation,45720,26680,70,3 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,Humanities,45720,26680,70,4 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,Information Systems concentration,45720,26680,70,3 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,Information Systems,45720,26680,70,4 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,Labour Studies Concentration,45720,26680,70,3 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,Labour Studies,45720,26680,70,4 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,Philosophy,45720,26680,70,3 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
Alberta,Athabasca University,Political Economy Concentration,45720,26680,70,3 years,English,Minimum score of 580 (on the written test) or 86 (on the Internet-based test),,See university website for more information. Online options available. ,113° 18' 12.19" W,54° 43' 20.63" N,www.athabascau.ca
